pid,supplier_biin,supplier_innunp,supplier_name_ru,supplier_name_kz,kato_list,index_date,system_id
35,274313092323,112725209715,АО «СнабКомплект»,АО «SnabKomplekt»,191010000,2023-10-06 22:55:10,3
36,436918431938,887162348567,ИП «Упаковка Профи»,ИП «Qaptama Profi»,191020000,2025-04-17 17:49:47,3
37,704085179942,684050706162,ТОО «Тау Клининг»,ТОО «Tau Cleaning»,191030000,2023-04-06 08:34:48,3
38,476911438293,102869257221,АО «Логистик Холдинг»,АО «Logistic Holding»,191040000,2025-11-13 15:14:45,3
39,249979960934,119109380373,ИП «ЭнергоСнаб»,ИП «EnergySnab»,191050000,2025-11-21 15:49:14,3
40,368638596420,807620333855,ТОО «Омега Поставка»,ТОО «Omega Postavka»,191060000,2024-07-01 21:42:06,3
41,588398309125,586498601697,ИП «МедТехника Казахстан»,ИП «MedTehnika Kazakhstan»,191070000,2023-08-08 14:36:30,3
42,903272156504,141602445783,АО «ИнфоСистемы»,АО «Aqparat Jüyeleri»,191080000,2025-02-01 07:51:39,3
43,885980129116,921490770049,ТОО «ПромИнвест»,ТОО «PromInvest»,191090000,2024-02-23 04:05:38,3
44,164315599223,167106303911,ИП «ХимРеактивы»,ИП «HimReaktivter»,191100000,2023-03-17 05:59:51,3
45,359142734077,902009200166,АО «СитиМенеджмент»,АО «QalaMenеджment»,191110000,2023-11-09 06:41:31,3
46,771828144808,664178523822,ТОО «СнабПрофи»,ТОО «SnabProfi»,191120000,2023-01-20 17:20:03,3
47,565865644710,136819008819,ИП «КлиматТех»,ИП «KlimatTeh»,191130000,2025-10-24 03:46:38,3
48,714063346949,895140886545,АО «Энергосервис»,АО «EnergoService»,191140000,2024-05-16 07:57:49,3
49,184956008465,345300981915,ТОО «ТехМонтаж»,ТОО «TehMontaj»,191150000,2024-05-15 00:34:05,3
50,769544940174,624129319364,ИП «АгроСнабKZ»,ИП «AgroSnab KZ»,191160000,2025-08-26 02:19:22,3
51,717165488837,904651997120,ТОО «СкладСистем»,ТОО «QoymaSystems»,191170000,2024-04-09 07:49:14,3
52,553052903999,621527977287,АО «КазФудГрупп»,АО «KazFoodGroup»,191180000,2024-06-12 02:22:16,3
53,690150262012,935218079948,ИП «ФудПоставка»,ИП «FoodPostavka»,191190000,2022-12-17 02:21:04,3
54,546800566782,156048315194,ТОО «УниПак»,ТОО «UniPack»,191200000,2025-04-16 15:46:01,3
55,222307215668,161938851053,АО «Корпоративный Фонд»,АО «Korporativ Qory»,191210000,2024-11-30 03:34:41,3
56,368596261436,962838678394,ИП «ЭкоХим»,ИП «EcoHim»,191220000,2022-11-28 19:16:21,3
57,152210289011,105952244618,ТОО «ФудТрейд Казахстан»,ТОО «FoodTrade Kazakhstan»,191230000,2024-01-19 18:13:39,3
58,298592302690,316530857293,АО «Технополис»,АО «TechnoPolis»,191240000,2025-08-07 11:33:12,3
59,751065032652,370614590372,ИП «ВетеринарПро»,ИП «VeterinarPro»,191250000,2023-11-30 18:39:04,3
